name,bore_diameter_land_mm,saami_name,saami_category,saami_case_length_in,saami_case_length_mm,saami_cartridge_overall_length_in,saami_cartridge_overall_length_mm,saami_bore_diameter_in,saami_bore_diameter_mm,saami_groove_diameter_in,saami_groove_diameter_mm,saami_bullet_diameter_in,saami_bullet_diameter_mm,saami_case_head_diameter_in,saami_case_head_diameter_mm,saami_neck_diameter_in,saami_neck_diameter_mm,saami_shoulder_diameter_in,saami_shoulder_diameter_mm,saami_rim_diameter_in,saami_rim_diameter_mm,saami_rim_thickness_in,saami_rim_thickness_mm,saami_max_avg_pressure_psi,saami_max_avg_pressure_cup,saami_max_avg_pressure_bar,saami_max_avg_pressure_mpa,saami_test_barrel_length_in,saami_test_barrel_length_mm,saami_reference_velocity_fps,saami_reference_velocity_ms,saami_reference_bullet_weight_gr,saami_reference_bullet_weight_g,saami_headspace_go_gauge_in,saami_headspace_go_gauge_mm,saami_headspace_no_go_gauge_in,saami_headspace_no_go_gauge_mm,saami_chamber_throat_diameter_in,saami_chamber_throat_diameter_mm,saami_chamber_throat_length_in,saami_chamber_throat_length_mm,saami_rifling_twist_rate,saami_rifling_groove_count,saami_standard_reference,saami_approved_date,saami_last_revised_date,saami_source_url
17 HMR,4.37,17 Hornady Magnum Rimfire,RIMFIRE,,,,,,4.37,,,0.172,4.37,,,,,,,,,,,26000,,1793,179.26,,,2550,777.24,17,1.1,,,,,,,,,,,SAAMI Z299.1-2018,2002-01-01,,https://en.wikipedia.org/wiki/.17_HMR; https://www.americanhunter.org/content/behind-the-bullet-17-hmr/; https://www.ammunitiontogo.com/lodge/17-hmr-ballistics/; http://gundata.org/cartridge/167/.17-hornady-magnum-rimfire-; https://www.outdoorlife.com/story/guns/rimfire-showdown-best-rimfires-of-all-time/; https://saami.org/technical-information/ansi-saami-standards/
204 Ruger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Hornet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 LR,5.51,22 Long Rifle,RIMFIRE,,,,,0.217,5.51,0.222,,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-250 Remington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222 Remington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223 Remington,5.56,223 Remington,CENTERFIRE RIFLE,1.76,44.704,,,0.219,5.56,0.224,5.69,0.224,5.69,,,,,,,,,,,55000,,3792,379.21,,,,,,,1.464,37.186,1.4736,37.43,,,,,1:12,6,,,,
224 Valkyrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243 Winchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260 Remington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270 Winchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280 Remington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-06 Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 Blackout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 RUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 Winchester Magnum,7.62,300 Winchester Magnum,CENTERFIRE RIFLE,2.62,66.548,3.34,84.836,0.3,7.62,0.308,7.82,0.308,7.82,0.532,13.513,0.339,8.611,,,,,,,64000,54000,4413,441.3,24,609.6,,,,,,,,,,,,,1:10,6,,,,
300 WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308 Winchester,7.62,308 Winchester,CENTERFIRE RIFLE,2.015,51.181,2.81,71.374,0.3,7.62,0.308,7.82,0.308,7.82,0.473,12.014,,,,,,,,,62000,52000,4275,427.47,,,,,,,1.63,41.402,1.64,41.656,,,,,1:12,4,,,,
338 Lapua Magnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338 Winchester Magnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375 H&H Magnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416 Rigby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458 Winchester Magnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 BMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5 Grendel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5mm Creedmoor,6.5,6.5mm Creedmoor,CENTERFIRE RIFLE,1.92,48.77,2.8,71.12,0.256,6.5,0.264,6.71,0.264,6.71,0.472,11.99,0.288,7.32,0.452,11.48,0.473,12.01,,,62000,,4275,427.47,,,,,,,1.541,39.14,1.551,39.4,,,,,1:8,6,SAAMI Z299.4-2025,2007-01-01,,https://en.wikipedia.org/wiki/6.5mm_Creedmoor; https://saami.org/technical-information/ansi-saami-standards/; https://saami.org/wp-content/uploads/2025/08/SAAMI-Z299.4-CFR-2025-Centerfire-Rifle-Approved-2-10-2025.pdf; https://saami.org/saami-releases-update-of-centerfire-rifle-standard/; https://www.theballisticassistant.com/saami-rifle-cartridge-catalog/; https://saami.org/technical-information/cartridge-chamber-drawings/; http://www.lasc.us/SAAMIMaxPressure.htm; https://www.longrangehunting.com/threads/interpreting-saami-specs.321715/
6.5x47 Lapua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5x55 Swedish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
