Device Name,BALLISTIC - 3063770
Device Model,5700SL
Serial Number,3063770
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,Compass True Direction,Wind Chill,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,Deg,°F
2025-06-26 03:56:00 PM,75.8,63.5,51.5,30.02,96,29.66,0.0,74.7,56.7,1587,0.0,0.0,142,142,75.7,point
2025-06-26 03:57:00 PM,75.0,61.5,46.6,30.02,97,29.66,0.0,73.4,53.2,1511,0.0,0.0,142,142,74.8,point
2025-06-26 03:58:00 PM,75.1,61.5,46.1,30.01,97,29.66,0.0,73.6,53.0,1518,0.0,0.0,142,142,75.0,point
2025-06-26 03:59:00 PM,74.4,61.0,46.6,30.01,101,29.66,0.0,72.9,52.7,1471,0.0,0.0,141,141,74.3,point
2025-06-26 04:00:00 PM,74.6,61.2,46.7,30.01,97,29.66,0.0,73.2,52.9,1484,0.0,0.0,142,142,74.5,point
2025-06-26 04:01:00 PM,74.5,61.2,46.9,30.01,101,29.66,0.0,73.2,52.9,1481,0.0,0.0,141,141,74.5,point
2025-06-26 04:02:00 PM,74.7,63.3,54.2,30.01,101,29.66,0.0,73.9,57.0,1518,0.0,0.0,148,148,74.7,point
2025-06-26 04:03:00 PM,74.5,61.3,47.5,30.01,101,29.66,0.0,73.2,53.2,1476,0.0,0.0,145,145,74.5,point
2025-06-26 04:04:00 PM,74.5,61.3,47.3,30.01,101,29.65,0.0,73.0,53.1,1479,0.0,0.0,145,145,74.3,point
2025-06-26 04:05:00 PM,74.4,61.3,47.2,30.01,102,29.65,0.0,73.0,53.0,1481,0.0,0.0,145,145,74.3,point
