Device Name,BALLISTIC - 3063770
Device Model,5700SL
Serial Number,3063770
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,Compass True Direction,Wind Chill,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,Deg,°F
2025-06-29 12:00:00 AM,91.7,66.6,26.4,30.09,33,29.73,0.0,90.0,52.4,2457,0.0,0.0,62,62,91.6,point
2025-06-29 12:01:00 AM,91.7,66.6,26.4,30.09,33,29.73,0.0,90.0,52.3,2462,0.0,0.0,62,62,91.6,point
2025-06-29 12:02:00 AM,91.7,66.6,26.4,30.09,29,29.73,0.0,90.0,52.3,2454,0.0,0.0,62,62,91.6,point
2025-06-29 12:03:00 AM,91.7,66.6,26.4,30.09,33,29.73,0.0,90.0,52.4,2459,0.0,0.0,62,62,91.6,point
2025-06-29 12:04:00 AM,91.6,66.6,26.4,30.09,33,29.73,0.0,90.0,52.3,2452,0.0,0.0,62,62,91.6,point
2025-06-29 12:05:00 AM,91.6,66.6,26.4,30.09,36,29.73,0.0,90.0,52.3,2457,0.0,0.0,62,62,91.6,point
2025-06-29 12:06:00 AM,91.6,66.6,26.5,30.09,29,29.73,0.0,89.8,52.3,2449,0.0,0.0,62,62,91.6,point
2025-06-29 12:07:00 AM,91.5,66.6,26.4,30.09,33,29.73,0.0,89.8,52.2,2449,0.0,0.0,62,62,91.4,point
2025-06-29 12:08:00 AM,91.6,66.6,26.4,30.09,33,29.73,0.0,89.8,52.3,2452,0.0,0.0,62,62,91.6,point
2025-06-29 12:09:00 AM,91.5,66.6,26.4,30.09,33,29.73,0.0,89.8,52.2,2447,0.0,0.0,62,62,91.4,point
2025-06-29 12:10:00 AM,91.5,66.6,26.4,30.09,29,29.73,0.0,89.8,52.2,2439,0.0,0.0,62,62,91.4,point
2025-06-29 12:11:00 AM,91.5,66.6,26.4,30.09,33,29.73,0.0,89.8,52.2,2442,0.0,0.0,62,62,91.4,point
2025-06-29 12:12:00 AM,91.5,66.6,26.5,30.09,29,29.73,0.0,89.8,52.3,2442,0.0,0.0,62,62,91.4,point
2025-06-29 12:13:00 AM,91.4,66.6,26.5,30.09,29,29.73,0.0,89.8,52.2,2437,0.0,0.0,62,62,91.4,point
2025-06-29 12:14:00 AM,91.4,66.4,26.5,30.09,29,29.73,0.0,90.0,52.2,2444,0.0,0.0,62,62,91.4,point
2025-06-29 12:15:00 AM,91.4,66.4,26.4,30.09,33,29.73,0.0,89.8,52.1,2437,0.0,0.0,62,62,91.4,point
2025-06-29 12:16:00 AM,91.4,66.4,26.5,30.09,33,29.73,0.0,89.6,52.2,2442,0.0,0.0,62,62,91.2,point
2025-06-29 12:17:00 AM,91.4,66.4,26.5,30.09,33,29.73,0.0,89.6,52.2,2444,0.0,0.0,62,62,91.2,point
2025-06-29 12:18:00 AM,91.3,66.4,26.5,30.09,33,29.73,0.0,89.6,52.2,2437,0.0,0.0,62,62,91.2,point
2025-06-29 12:19:00 AM,91.3,66.4,26.5,30.09,29,29.73,0.0,89.6,52.1,2432,0.0,0.0,62,62,91.2,point
2025-06-29 12:20:00 AM,91.3,66.4,26.6,30.09,33,29.73,0.0,89.6,52.2,2434,0.0,0.0,62,62,91.2,point
2025-06-29 12:21:00 AM,91.2,66.4,26.5,30.09,33,29.73,0.0,89.6,52.1,2432,0.0,0.0,62,62,91.2,point
2025-06-29 12:22:00 AM,91.2,66.4,26.6,30.09,29,29.73,0.0,89.6,52.1,2432,0.0,0.0,62,62,91.2,point
2025-06-29 12:23:00 AM,91.2,66.4,26.6,30.09,33,29.73,0.0,89.6,52.1,2432,0.0,0.0,62,62,91.2,point
2025-06-29 12:24:00 AM,91.2,66.4,26.6,30.09,29,29.73,0.0,89.4,52.1,2429,0.0,0.0,62,62,91.0,point
2025-06-29 12:25:00 AM,91.2,66.4,26.6,30.09,29,29.73,0.0,89.4,52.2,2427,0.0,0.0,62,62,91.0,point
2025-06-29 12:26:00 AM,91.1,66.4,26.6,30.09,29,29.73,0.0,89.4,52.1,2427,0.0,0.0,62,62,91.0,point
2025-06-29 12:27:00 AM,91.1,66.4,26.6,30.09,33,29.73,0.0,89.4,52.1,2427,0.0,0.0,62,62,91.0,point
2025-06-29 12:28:00 AM,91.1,66.4,26.6,30.09,33,29.73,0.0,89.4,52.1,2427,0.0,0.0,62,62,91.0,point
2025-06-29 12:29:00 AM,91.1,66.4,26.6,30.09,33,29.73,0.0,89.4,52.1,2427,0.0,0.0,62,62,91.0,point
2025-06-29 12:30:00 AM,91.1,66.2,26.6,30.09,33,29.73,0.0,89.4,52.1,2424,0.0,0.0,62,62,91.0,point
2025-06-29 12:31:00 AM,91.1,66.2,26.6,30.09,33,29.73,0.0,89.4,52.1,2424,0.0,0.0,62,62,91.0,point
2025-06-29 12:32:00 AM,91.0,66.4,26.7,30.09,33,29.73,0.0,89.2,52.1,2422,0.0,0.0,62,62,90.9,point
2025-06-29 12:33:00 AM,91.0,66.4,26.7,30.09,33,29.73,0.0,89.2,52.1,2422,0.0,0.0,62,62,90.9,point
2025-06-29 12:34:00 AM,91.0,66.2,26.6,30.09,36,29.73,0.0,89.2,52.1,2422,0.0,0.0,62,62,90.9,point
2025-06-29 12:35:00 AM,91.0,66.2,26.6,30.09,36,29.73,0.0,89.2,52.1,2422,0.0,0.0,62,62,90.9,point
2025-06-29 12:36:00 AM,91.0,66.4,26.7,30.09,33,29.73,0.0,89.2,52.1,2419,0.0,0.0,62,62,90.9,point
2025-06-29 12:37:00 AM,90.9,66.2,26.7,30.09,33,29.73,0.0,89.2,52.0,2417,0.0,0.0,62,62,90.9,point
2025-06-29 12:38:00 AM,90.9,66.2,26.7,30.09,36,29.73,0.0,89.2,52.0,2417,0.0,0.0,62,62,90.9,point
2025-06-29 12:39:00 AM,90.9,66.2,26.7,30.09,36,29.73,0.0,89.2,52.0,2417,0.0,0.0,62,62,90.9,point
2025-06-29 12:40:00 AM,90.9,66.2,26.7,30.09,33,29.73,0.0,89.2,52.0,2414,0.0,0.0,62,62,90.9,point
2025-06-29 12:41:00 AM,90.9,66.2,26.7,30.09,36,29.73,0.0,89.2,52.0,2414,0.0,0.0,62,62,90.9,point
2025-06-29 12:42:00 AM,90.9,66.2,26.8,30.09,29,29.73,0.0,89.2,52.0,2407,0.0,0.0,62,62,90.9,point
2025-06-29 12:43:00 AM,90.9,66.2,26.7,30.09,29,29.73,0.0,89.2,52.0,2407,0.0,0.0,62,62,90.9,point
2025-06-29 12:44:00 AM,90.8,66.2,26.7,30.09,33,29.73,0.0,89.1,51.9,2404,0.0,0.0,62,62,90.7,point
2025-06-29 12:45:00 AM,90.8,66.2,26.7,30.09,29,29.73,0.0,89.1,52.0,2402,0.0,0.0,62,62,90.7,point
2025-06-29 12:46:00 AM,90.8,66.2,26.8,30.09,29,29.73,0.0,89.1,52.0,2402,0.0,0.0,62,62,90.7,point
2025-06-29 12:47:00 AM,90.8,66.2,26.8,30.09,33,29.73,0.0,89.1,51.9,2402,0.0,0.0,62,62,90.7,point
2025-06-29 12:48:00 AM,90.8,66.2,26.7,30.09,29,29.73,0.0,89.1,51.9,2399,0.0,0.0,62,62,90.7,point
2025-06-29 12:49:00 AM,90.7,66.2,26.8,30.09,33,29.73,0.0,89.1,52.0,2399,0.0,0.0,62,62,90.7,point
2025-06-29 12:50:00 AM,90.7,66.2,26.8,30.09,33,29.73,0.0,89.1,51.9,2399,0.0,0.0,62,62,90.7,point
2025-06-29 12:51:00 AM,90.7,66.2,26.8,30.09,33,29.73,0.0,89.1,51.9,2399,0.0,0.0,62,62,90.7,point
2025-06-29 12:52:00 AM,90.7,66.2,26.8,30.09,36,29.73,0.0,89.1,51.9,2399,0.0,0.0,62,62,90.7,point
2025-06-29 12:53:00 AM,90.7,66.2,26.8,30.09,33,29.73,0.0,89.1,51.9,2397,0.0,0.0,62,62,90.7,point
2025-06-29 12:54:00 AM,90.6,66.2,26.9,30.09,33,29.73,0.0,88.7,52.0,2397,0.0,0.0,62,62,90.5,point
2025-06-29 12:55:00 AM,90.6,66.2,26.9,30.09,36,29.73,0.0,88.7,52.0,2394,0.0,0.0,62,62,90.5,point
2025-06-29 12:56:00 AM,90.6,66.2,26.9,30.09,36,29.73,0.0,88.7,51.9,2394,0.0,0.0,62,62,90.5,point
2025-06-29 12:57:00 AM,90.6,66.2,26.8,30.09,33,29.73,0.0,88.7,51.9,2394,0.0,0.0,62,62,90.5,point
2025-06-29 12:58:00 AM,90.6,66.2,26.9,30.09,33,29.73,0.0,88.7,51.9,2392,0.0,0.0,62,62,90.5,point
2025-06-29 12:59:00 AM,90.6,66.2,26.9,30.09,36,29.73,0.0,88.7,51.9,2392,0.0,0.0,62,62,90.5,point
2025-06-29 01:00:00 AM,90.5,66.2,26.9,30.09,36,29.73,0.0,88.7,51.9,2387,0.0,0.0,62,62,90.5,point
2025-06-29 01:01:00 AM,90.5,66.2,26.9,30.09,36,29.72,0.0,88.7,51.9,2392,0.0,0.0,62,62,90.5,point
2025-06-29 01:02:00 AM,90.5,66.2,26.9,30.09,36,29.72,0.0,88.7,51.9,2392,0.0,0.0,62,62,90.5,point
2025-06-29 01:03:00 AM,90.5,66.0,26.9,30.09,36,29.73,0.0,88.5,51.9,2384,0.0,0.0,62,62,90.3,point
