Device Name,BALLISTIC - 3063770
Device Model,5700SL
Serial Number,3063770
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,Compass True Direction,Wind Chill,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,Deg,°F
2025-06-12 08:20:00 PM,71.6,58.8,47.0,30.08,36,29.72,0.0,70.5,50.3,1208,0.0,0.0,150,150,71.6,point
2025-06-12 08:21:00 PM,71.6,58.8,46.9,30.08,36,29.72,0.0,70.5,50.3,1208,0.0,0.0,150,150,71.6,point
2025-06-12 08:22:00 PM,71.6,58.8,47.0,30.08,36,29.72,0.0,70.5,50.3,1208,0.0,0.0,150,150,71.6,point
2025-06-12 08:23:00 PM,71.6,58.8,47.0,30.08,36,29.72,0.0,70.3,50.3,1205,0.0,0.0,150,150,71.4,point
2025-06-12 08:24:00 PM,71.6,58.8,47.0,30.08,33,29.72,0.0,70.3,50.3,1200,0.0,0.0,150,150,71.4,point
2025-06-12 08:25:00 PM,71.6,58.8,47.0,30.08,33,29.72,0.0,70.3,50.3,1200,0.0,0.0,150,150,71.4,point
2025-06-12 08:26:00 PM,71.6,58.8,46.9,30.08,33,29.72,0.0,70.3,50.3,1200,0.0,0.0,150,150,71.4,point
2025-06-12 08:27:00 PM,71.6,58.8,47.0,30.08,29,29.72,0.0,70.3,50.3,1198,0.0,0.0,150,150,71.4,point
2025-06-12 08:28:00 PM,71.6,58.8,47.0,30.09,28,29.73,0.0,70.3,50.3,1195,0.0,0.0,150,150,71.4,point
2025-06-12 08:29:00 PM,71.6,58.8,46.9,30.09,28,29.72,0.0,70.3,50.2,1198,0.0,0.0,150,150,71.4,point
2025-06-12 08:30:00 PM,71.5,58.8,47.0,30.08,29,29.72,0.0,70.3,50.2,1198,0.0,0.0,150,150,71.4,point
2025-06-12 08:31:00 PM,71.5,58.8,47.0,30.08,28,29.72,0.0,70.3,50.3,1195,0.0,0.0,150,150,71.4,point
2025-06-12 08:32:00 PM,71.5,58.8,47.1,30.09,24,29.73,0.0,70.3,50.3,1191,0.0,0.0,150,150,71.4,point
2025-06-12 08:33:00 PM,71.5,58.8,47.0,30.09,28,29.73,0.0,70.3,50.2,1191,0.0,0.0,150,150,71.4,point
2025-06-12 08:34:00 PM,71.5,58.8,47.0,30.09,24,29.73,0.0,70.3,50.2,1191,0.0,0.0,150,150,71.4,point
2025-06-12 08:35:00 PM,71.5,58.8,47.0,30.09,22,29.73,0.0,70.3,50.2,1188,0.0,0.0,150,150,71.4,point
2025-06-12 08:36:00 PM,71.5,58.8,46.9,30.09,24,29.73,0.0,70.3,50.2,1191,0.0,0.0,150,150,71.4,point
2025-06-12 08:37:00 PM,71.5,58.8,47.0,30.09,24,29.73,0.0,70.3,50.2,1191,0.0,0.0,150,150,71.4,point
2025-06-12 08:38:00 PM,71.5,58.8,47.1,30.09,24,29.73,0.0,70.3,50.3,1186,0.0,0.0,150,150,71.4,point
2025-06-12 08:39:00 PM,71.5,58.8,47.1,30.09,22,29.73,0.0,70.3,50.3,1188,0.0,0.0,150,150,71.4,point
2025-06-12 08:40:00 PM,71.5,58.8,47.1,30.09,24,29.73,0.0,70.3,50.3,1188,0.0,0.0,150,150,71.4,point
2025-06-12 08:41:00 PM,71.5,58.8,47.2,30.09,22,29.73,0.0,70.3,50.3,1183,0.0,0.0,150,150,71.4,point
2025-06-12 08:42:00 PM,71.5,58.8,47.3,30.09,22,29.73,0.0,70.3,50.4,1183,0.0,0.0,150,150,71.4,point
2025-06-12 08:43:00 PM,71.5,58.8,47.2,30.09,19,29.73,0.0,70.3,50.3,1186,0.0,0.0,150,150,71.4,point
2025-06-12 08:44:00 PM,71.5,58.8,47.2,30.09,19,29.73,0.0,70.3,50.3,1186,0.0,0.0,150,150,71.4,point
2025-06-12 08:45:00 PM,71.5,58.8,47.2,30.09,22,29.73,0.0,70.3,50.3,1183,0.0,0.0,150,150,71.4,point
2025-06-12 08:46:00 PM,71.5,58.8,47.1,30.09,22,29.73,0.0,70.3,50.3,1186,0.0,0.0,150,150,71.4,point
2025-06-12 08:47:00 PM,71.5,58.8,47.1,30.10,16,29.74,0.0,70.3,50.3,1181,0.0,0.0,150,150,71.4,point
2025-06-12 08:48:00 PM,71.5,58.8,47.2,30.09,24,29.73,0.0,70.3,50.3,1186,0.0,0.0,150,150,71.4,point
2025-06-12 08:49:00 PM,71.5,58.8,47.1,30.09,22,29.73,0.0,70.3,50.3,1188,0.0,0.0,150,150,71.4,point
2025-06-12 08:50:00 PM,71.5,58.8,47.0,30.09,24,29.73,0.0,70.3,50.3,1188,0.0,0.0,150,150,71.4,point
2025-06-12 08:51:00 PM,71.5,58.8,47.1,30.09,24,29.73,0.0,70.3,50.3,1188,0.0,0.0,150,150,71.4,point
2025-06-12 08:52:00 PM,71.5,58.8,47.1,30.09,22,29.73,0.0,70.3,50.3,1186,0.0,0.0,150,150,71.4,point
2025-06-12 08:53:00 PM,71.5,58.8,46.9,30.09,22,29.73,0.0,70.3,50.2,1186,0.0,0.0,150,150,71.4,point
2025-06-12 08:54:00 PM,71.5,58.8,47.0,30.09,22,29.73,0.0,70.3,50.2,1188,0.0,0.0,150,150,71.4,point
2025-06-12 08:55:00 PM,71.5,58.8,47.0,30.09,22,29.73,0.0,70.3,50.2,1183,0.0,0.0,150,150,71.4,point
